video_id,title,description,tags,category_id,channel_title,published_at,views,likes,comments_count,platform,fetched_at,duration
8HTSoQEn38E,ISU ROHINGYA | Hampir Setiap Warga Myanmar Cuba Seludup Masuk Melalui Tak Bai - Polis (BU),"Polis Kelantan mendedahkan cubaan menyeludup masuk warga Myanmar, termasuk etnik Rohingya ke negeri berkenaan, berlaku hampir setiap hari melalui Tak Bai, Thailand.


#IsuRohingya #SempadanNegara #PolisKelantan #PenyeludupanWargaAsing #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:25:14Z,686,19,9,Regular,2026-06-16 01:35:31,PT1M6S
mgVnMZ03DaE,RUMAH PANJANG BUKIT KIARA | 98 Keluarga Bakal Terima Kediaman Kekal Selepas 44 Tahun Menanti (BU),"Hak golongan miskin bandar untuk menikmati kehidupan yang lebih baik dan sempurna tidak pernah dipinggirkan kerajaan.  


#RumahPanjang #BukitKiara #KediamanKekal #MiskinBandar #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:30:28Z,216,4,0,Regular,2026-06-16 01:35:31,PT1M59S
kgx1w5AtWpA,"Stocks surge, oil tumbles after news of Iran-US deal","Share markets surged in Asia on Monday (June 15) while the dollar slipped and oil prices tumbled as a tentative peace deal between the United States and Iran promised to ease inflationary pressures globally and lessen the need for higher interest rates.

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'hormuz', 'oil', 'stocks', 'asia', 'trump', 'iran', 'peace', 'war', 'lebanon', 'israel']",25,The Star,2026-06-15T03:52:16Z,541,8,0,Regular,2026-06-16 01:35:31,PT1M48S
4EKNbKfQfvE,"CAJ RM1 | Pengeluaran Wang Tunai Percuma Di Semua Mesin ATM, SRM Mulai 1 Julai (BU)","Mulai 1 Julai depan, pengeluaran wang tunai di semua mesin pengeluaran wang, (ATM) atau mesin kitar semula pintar (SRM) tidak akan dikenakan caj RM1.


#MesinATM #MesinSRM #CajRM1 #SistemPerbankan #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:28:08Z,1522,47,4,Regular,2026-06-16 01:35:31,PT1M56S
DjDsMpeR8jo,TULAR | Dua Wanita Warga Indonesia Jadi Mangsa Penderaan Majikan Diberi Perlindungan,"Konsulat Jeneral Republik Indonesia di Johor Bahru, memberi perlindungan dan bantuan kepada dua wanita warga Indonesia, yang disyaki menjadi mangsa penderaan fizikal majikan mereka di Johor. #BuletinTV3 #Tular #Penderaan #Indonesia

====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T05:52:58Z,7922,92,122,Regular,2026-06-16 01:35:31,PT1M21S
9FoFJIrwLNw,"Twelve people, including pilot, die in Missouri plane crash - authorities","Eleven skydivers and a pilot died in the crash of a private plane on Sunday in Butler, Missouri, aircraft operator Skydive Kansas City said.

The Missouri State Highway Patrol said the crash occurred near the ‌Butler Memorial Airport, about 60 miles (100 km) south of Kansas City, Missouri.

Read more at https://tinyurl.com/3r6pmyu2

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'missouri', 'plane', 'crash', 'pilot', 'skydivers', 'killed', 'skydiving plane']",25,The Star,2026-06-15T08:12:30Z,557,2,0,Regular,2026-06-16 01:35:31,PT1M42S
O5xI2ENbtt4,Germany and Sweden coast as the excitement continues,"NST Sport Final Score EP05: Big wins for Germany and Sweden overshadow exciting Netherlands-Japan draw.

Read more at: nst.com.my/sports



----------------------------------
#NST #NSTTV NST, NSTOnline, Malaysia, Sports, World Cup, Fifa, Football, NST Sport, Germany, Curacao, Netherlands, Japan, Ivory Coast, Ecuador, Sweden, Tunisia

visit us at http://www.nst.com.my 
our Facebook http://www.facebook.com/nstonline
more news at  http://www.twitter.com/NST_Online 
Instagram http://www.instagram.com/nstonline
and also Tiktok https://www.tiktok.com/@nstonline","['NST', 'NSTOnline', 'Malaysia', 'Sports', 'World Cup', 'Fifa', 'Football', 'NST Sport', 'Germany', 'Curacao', 'Netherlands', 'Japan', 'Ivory Coast', 'Ecuador', 'Sweden', 'Tunisia']",17,NST Online,2026-06-15T08:27:17Z,166,3,0,Regular,2026-06-16 01:35:31,PT3M20S
YvrVwBj6BSc,KEMALANGAN NGERI | Jenazah Empat Sekeluarga Selamat Dikebumikan Dalam Satu Liang Lahad,"====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

Lagi berita terkini dan komprehensif, layari www.buletintv3.my

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok  : https://www.tiktok.com/@buletintv3 
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L

#BuletinTV3 #TV3 #BuletinUtama","['Buletin TV3', 'berita semasa', 'berita terkini', 'perkembangan semasa', 'buletin malaysia', 'berita malaysia', 'tonton', 'ntv7', '8tv', 'astro awani', 'berita rtm', 'berita tv9', 'news Malaysia', 'news malay', 'news mpb', 'trending nombor 1', 'trending', 'trending worldwide']",25,Buletin TV3,2026-06-15T13:38:20Z,1967,60,1,Short,2026-06-16 01:35:31,PT1M3S
4TmsvcQMo_k,"ISU ROHINGYA | Ada Pihak Yang Tawar, Galak Rohingya Berniaga - Azalina (BU)","Pembabitan etnik Rohingya dalam aktiviti perniagaan tidak berlaku secara sendiri.


#IsuRohingya #EtnikRohingya #AktivitiPerniagaan #AzalinaOthman #BuletinUtama


====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:23:22Z,377,4,10,Regular,2026-06-16 01:35:31,PT1M27S
qU9raduIkCQ,"Caj RM1 Di Mesin ATM Dimansuhkan Mulai 1 Julai | Buletin Utama, 15 Jun 2026","Buletin Utama siaran Isnin, 15 Jun 2026 bersama penyampai Mior Abdul Malek Raiyani dan Azaria Tagaya.

====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok  : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my

#BuletinTV3 #TV3 #BU #BuletinUtama","['Buletin TV3', 'berita semasa', 'berita terkini', 'perkembangan semasa', 'buletin malaysia', 'berita malaysia', 'tonton', 'ntv7', '8tv', 'astro awani', 'berita rtm', 'berita tv9', 'news Malaysia', 'news malay', 'news mpb', 'trending nombor 1', 'trending', 'trending worldwide']",25,Buletin TV3,2026-06-15T13:04:35Z,64003,422,9,Regular,2026-06-16 01:35:31,PT1H
i0KhlXwUnAo,"US singer Oliver Tree, Argentine YouTuber among six dead in Rio helicopter crash","American singer Oliver Tree and Argentine YouTuber Gaspar Prim were among six people killed when two helicopters collided over Rio de Janeiro on Sunday (June 14), local police said.

The aircraft crashed on grounds leased by an electric car dealership, which aggravated the fire due to the vehicles' lithium batteries.

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'oliver tree', 'rio de janeiro', 'gaspar prim', 'youtube', 'singer', 'american', 'helicopter', 'crash', 'dead']",25,The Star,2026-06-15T05:18:12Z,6325,70,11,Regular,2026-06-16 01:35:31,PT1M27S
aZxGzpaEt3U,Trailer driver in fatal Karak Highway crash tests positive for drugs,"The trailer driver involved in a fatal crash that killed four people at Km43 Kuala Lumpur-Karak Expressway yesterday has tested positive for drugs.

District police chief Superintendent Zaiham Mohd Kahar said urine screening confirmed that the suspect had consumed methamphetamine.

He said the driver was brought to the Bentong police headquarters after undergoing treatment at Bentong Hospital.

Yesterday, Pahang police chief Datuk Seri Yahaya Othman said checks revealed that the lorry driver had 15 traffic summonses.

The 4.25pm crash yesterday claimed the lives of four people, including an infant, after the car they were travelling in was crushed by the overturned trailer.

The victims — a man, two women and a year-old child — were killed on the spot, while the lorry driver sustained head and hip injuries.



Read more at:
https://www.nst.com.my/news/regional/2026/06/1463477/updated-trailer-driver-fatal-karak-highway-crash-tests-positive-drugs

----------------------------------
#NST #NSTTV#Accident #Tragedy #RoadSafety #Trailer #Driver #Positive #Drugs #MalaysiaNews #NSTNews

visit us at http://www.nst.com.my 
our Facebook http://www.facebook.com/nstonline
more news at  http://www.twitter.com/NST_Online 
Instagram http://www.instagram.com/nstonline
and also Tiktok https://www.tiktok.com/@nstonline","['nstonline', 'NST', 'New Straits Times', 'news', 'BTH', '#BeyondTheHeadlines']",25,NST Online,2026-06-15T02:45:22Z,8539,59,34,Short,2026-06-16 01:35:31,PT54S
oSSghBj707I,Ahmad Maslan confirms not contesting in Johor polls,"Johor Barisan Nasional (BN) deputy chairman Datuk Seri Dr Ahmad Maslan has confirmed he will not contest in the upcoming Johor state election, despite speculation linking him to several state seats.

Ahmad, who is also Deputy Works Minister, said he has no intention of contesting either the Benut or Pulai Sebatang state seat within the Pontian parliamentary seat.

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'johor', 'state election', 'ahmad maslan', 'contest', 'bn', 'umno', 'election commission']",25,The Star,2026-06-15T09:29:29Z,622,3,2,Regular,2026-06-16 01:35:31,PT1M19S
yEKJE3qHO38,Final family photo becomes last memory after Karak Expressway tragedy,"A family photograph taken shortly before a fatal crash has become a heartbreaking final memory for the loved ones of four victims killed in the Kuala Lumpur–Karak Expressway tragedy. The victims, including an infant, died after their car was crushed by an overturned trailer at Km43 of the highway. 

The tragedy has sparked an outpouring of grief on social media, with the family's final photo serving as a poignant reminder of how quickly lives can change. Authorities are continuing investigations into the crash.

Read more at:
https://www.nst.com.my/news/nation/2026/06/1463759/final-family-photo-becomes-last-memory-after-karak-expressway-tragedy

----------------------------------
#NST #NSTTV #NSTOnline #KarakExpressway #RoadTragedy #RoadAccident #KualaLumpurKarak #MalaysiaNews #TrafficAccident #RoadSafety #FamilyTragedy

visit us at http://www.nst.com.my 
our Facebook http://www.facebook.com/nstonline
more news at  http://www.twitter.com/NST_Online 
Instagram http://www.instagram.com/nstonline
and also Tiktok https://www.tiktok.com/@nstonline","['nstonline', 'NST', 'New Straits Times', 'news', 'BTH', '#BeyondTheHeadlines']",25,NST Online,2026-06-15T07:14:03Z,2022,23,1,Short,2026-06-16 01:35:31,PT1M26S
yeeYDI3tW2A,"ISU ROHINGYA | 7,000 Hingga 8,000 Dihantar Ke Negara Ketiga Setiap Tahun - KPN (BU)","Dianggarkan 7,000 hingga 8,000 pelarian Rohingya yang berada di negara ini dihantar ke negara ketiga setiap tahun. 


#IsuRohingya #PelarianRohingya #KetuaPolisNegara #KPN #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:24:11Z,703,8,13,Regular,2026-06-16 01:35:31,PT1M22S
EQQH-C6vPS8,"EMPAT SEKELUARGA MAUT | Proses Bedah Siasat Dijalankan Pagi Ini, Pemandu Treler Positif Dadah","Untuk perkembangan proses bedah siasat jenazah empat sekeluarga yang maut dalam nahas di Lebuhraya Kuala Lumpur-Karak menghala Bentong semalam, kita bersama wartawan Fazli Ahmad di Temerloh. #BuletinTV3 #Kemalangan #Nahas4Maut #BedahSiasat

====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T01:50:23Z,4257,43,23,Regular,2026-06-16 01:35:31,PT3M6S
-_EkEWVzWQ8,"Don’t listen to political campaigns that aim to divide Malaysians, says Anwar","With campaigning intensifying ahead of the upcoming state polls, Datuk Seri Anwar Ibrahim has urged Malaysians not to fall for racial rhetoric.

The Prime Minister said election campaigns that pit one race against another will leave the poor with no one to fight for them.

Read more at https://tinyurl.com/36ytmcaf

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline","['news', 'the star tv', 'the star', 'thestartv', 'politics', 'campaigning', 'state polls', 'anwar ibrahim', 'racial rhetoric', 'bukit kiara estate', 'longhouse']",25,The Star,2026-06-15T12:25:10Z,773,28,20,Regular,2026-06-16 01:35:31,PT2M48S
AtN9MnfkRGg,"FILEM POLONG | Cetus Fenomena Luar Biasa, Kutipan Pecah Panggung RM14.2 Juta (BU)","Filem seram, Polong mencetuskan fenomena luar biasa dengan kutipan pecah panggung RM14.2 juta setakat ini.


#FilemPolong #FilemSeram #PecahPanggung #FilemMalaysia #BuletinUtama
====================

Dapatkan berita terkini, tepat dan sahih dengan ‘SUBSCRIBE’ YouTube Buletin TV3

IKUTI kami di:
Facebook : https://www.facebook.com/BuletinTV3Official/
Twitter : https://twitter.com/BuletinTV3
Instagram : https://www.instagram.com/buletintv3/
Website : https://www.buletintv3.my
TikTok : https://www.tiktok.com/@buletintv3
Telegram : https://t.me/BuletinTV3Official
Whatsapp Channel : https://bit.ly/3SZnJ5L
LUMI : https://bit.ly/3ZhzNBm

Lagi berita terkini dan komprehensif, layari www.buletintv3.my #BuletinTV3 #BeritaTerkini","['BU', 'Buletin TV3', 'buletin utama', 'buletintv3', 'butv3']",25,Buletin TV3,2026-06-15T12:40:42Z,335,9,0,Regular,2026-06-16 01:35:31,PT1M15S
